radio,1 Sí,2 No,TOTAL
141680305,204,10,214
141680306,73,1,74
141680307,151,14,165
141680308,52,5,57
141680309,128,19,147
141680310,139,14,153
141680311,1105,100,1205
141680312,735,85,820
141680313,1152,98,1250
141750101,97,13,110
141750102,64,8,72
141750103,128,31,159
141750104,66,3,69
141750105,132,10,142
141750106,77,2,79
141750107,180,14,194
141750108,97,13,110
141750109,122,10,132
141750110,635,95,730
141750111,538,82,620
141750112,272,30,302
141750113,625,37,662
141750114,698,60,758
141750201,369,40,409
141750202,397,49,446
141750203,147,11,158
141750204,181,16,197
141750205,99,7,106
141750206,184,16,200
141750207,106,13,119
141750208,191,14,205
141750209,375,53,428
141750210,168,22,190
141750211,163,19,182
141750212,684,68,752
141750213,728,58,786
141750214,708,61,769
141750215,700,47,747
141750216,496,28,524
141750217,616,39,655
141750218,939,100,1039
141750219,1,0,1
141820101,163,9,172
141820102,174,19,193
141820103,130,12,142
141820104,140,14,154
141820105,192,18,210
141820106,304,22,326
141820107,201,13,214
141820108,228,15,243
141820109,139,8,147
141820110,271,21,292
141820111,481,22,503
141820112,667,41,708
141820113,675,42,717
141820114,382,32,414
141820115,491,63,554
141820116,913,49,962
141820117,615,54,669
141820118,666,29,695
141820119,725,16,741
141820120,863,33,896
141820121,554,16,570
141820201,200,21,221
141820202,351,42,393
141820203,280,28,308
141820204,98,11,109
141820205,91,11,102
141820206,720,52,772
141820207,728,51,779
141820208,523,31,554
141820209,782,42,824
141820210,719,56,775
141820211,766,53,819
141820212,472,27,499
141820213,933,68,1001
141820214,416,31,447
141820301,164,14,178
141820302,55,7,62
141820303,236,353,589
141820304,126,9,135
141820305,96,4,100
141820306,182,13,195
141820307,878,42,920
141820308,665,29,694
141820309,431,11,442
141820310,1085,90,1175
141820401,114,8,122
141820402,302,40,342
141820403,230,18,248
141820404,88,11,99
141820405,94,8,102
141820406,162,21,183
141820407,107,11,118
141820408,346,19,365
141820409,633,49,682
141820410,642,32,674
141820411,836,39,875
141820412,619,66,685
141820413,852,78,930
141820414,620,42,662
141820415,837,45,882
141820501,81,5,86
141820502,71,10,81
141820503,19,1,20
141820504,60,3,63
141820505,197,14,211
141820506,57,5,62
141820507,48,3,51
141820508,80,4,84
141820509,575,27,602
141820510,433,19,452
141820511,839,37,876
141820512,684,40,724
141820513,661,33,694
141820514,531,19,550
141820515,643,30,673
141820516,696,59,755
141820517,440,29,469
141820518,913,36,949
141820519,381,14,395
141820520,545,38,583
141820521,605,35,640
141820601,64,7,71
141820602,111,17,128
141820603,64,4,68
141820604,129,15,144
141820605,96,12,108
141820606,18,0,18
141820607,884,33,917
141820608,513,25,538
141820609,1345,98,1443
141820610,686,43,729
141820611,509,17,526
141820612,901,69,970
141820613,579,27,606
141820614,343,14,357
141820615,773,28,801
141820616,625,30,655
141820617,523,32,555
141820618,338,11,349
141820619,316,39,355
141820701,61,6,67
141820702,195,20,215
141820703,126,11,137
141820704,63,3,66
141820705,122,14,136
141820706,90,6,96
141820707,374,34,408
141820708,149,13,162
141820709,119,7,126
141820710,96,6,102
141820711,595,73,668
141820712,353,21,374
141820713,467,38,505
141820714,595,39,634
141820715,832,71,903
141820716,628,55,683
141820801,679,68,747
141820802,730,45,775
141820803,860,48,908
141820804,596,27,623
141820805,866,54,920
141820806,990,33,1023
141820807,535,32,567
141820808,427,11,438
141820809,822,28,850
141820810,781,37,818
141820811,522,26,548
141820812,293,2,295
141820901,842,48,890
141820902,1092,74,1166
141820903,958,77,1035
141820904,630,43,673
141820905,713,43,756
141820906,589,28,617
141820907,641,37,678
141820908,1095,97,1192
141820909,938,70,1008
141820910,942,51,993
141820911,669,25,694
141821001,556,16,572
141821002,748,33,781
141821003,554,26,580
141821004,894,82,976
141821005,510,61,571
141821006,622,36,658
141821007,700,24,724
141821008,438,23,461
141821009,742,41,783
141821010,978,67,1045
141821101,384,24,408
141821102,565,20,585
141821103,418,13,431
141821104,503,18,521
141821105,426,13,439
141821106,767,49,816
141821107,527,24,551
141821108,789,45,834
141821109,1238,143,1381
141821110,942,55,997
141821201,638,42,680
141821202,445,13,458
141821203,703,29,732
141821204,1020,65,1085
141821205,638,37,675
141821206,1026,71,1097
141821207,732,17,749
141821208,576,25,601
141821209,566,46,612
141821210,576,34,610
141821211,805,46,851
141821301,842,62,904
141821302,853,48,901
141821303,586,23,609
141821304,749,36,785
141821305,506,17,523
141821306,665,39,704
141821307,829,67,896
141821308,378,40,418
141821309,423,21,444
141821310,444,31,475
141821311,716,75,791
141821312,720,85,805
180070101,1045,174,1219
180070102,534,74,608
180070103,892,90,982
180070104,680,61,741
180070105,847,70,917
180070106,967,89,1056
180070107,526,27,553
180070108,800,37,837
180070109,916,91,1007
180070110,707,48,755
180070111,692,92,784
180070112,754,70,824
180070113,918,41,959
180070114,777,67,844
180070115,973,136,1109
180070116,892,88,980
180070117,851,62,913
180070118,752,53,805
180070119,838,96,934
180070120,725,52,777
180070121,754,58,812
180070122,838,104,942
180070123,755,73,828
180070124,879,58,937
180070125,964,50,1014
180070201,243,42,285
180070202,172,17,189
180070203,300,60,360
180070204,299,48,347
180070205,196,28,224
180070206,243,22,265
180070207,239,26,265
180070208,259,32,291
180070209,253,31,284
180070210,73,6,79
180070211,180,45,225
180070212,224,36,260
180070213,904,107,1011
180070214,1493,152,1645
180070215,1009,75,1084
180070216,639,72,711
180070217,521,96,617
180070218,558,72,630
180070301,699,68,767
180070302,137,17,154
180070303,133,19,152
180070304,387,39,426
180070305,383,25,408
180070401,89,10,99
180070501,104,12,116
180070502,48,21,69
180070503,20,2,22
180070504,100,6,106
180070505,82,9,91
180070506,148,25,173
180070601,432,63,495
180070602,348,42,390
180070701,211,26,237
180070702,385,44,429
180070801,5,4,9
180070802,29,7,36
180140101,354,47,401
180140102,402,32,434
180140103,465,55,520
180140201,131,15,146
180140202,27,4,31
180140203,14,6,20
180140301,244,57,301
180140302,70,8,78
180140303,149,24,173
180140401,173,26,199
180140402,38,4,42
180140501,0,0,0
180140502,0,0,0
180210101,1143,33,1176
180210102,797,29,826
180210103,1076,40,1116
180210104,764,25,789
180210105,647,27,674
180210106,784,35,819
180210107,624,29,653
180210108,532,21,553
180210109,642,16,658
180210110,539,15,554
180210111,542,27,569
180210112,454,25,479
180210113,1199,38,1237
180210114,977,34,1011
180210115,1465,68,1533
180210116,543,27,570
180210117,1105,29,1134
180210118,949,24,973
180210201,992,33,1025
180210202,658,26,684
180210203,807,25,832
180210204,520,20,540
180210205,623,24,647
180210206,672,25,697
180210207,849,23,872
180210208,771,19,790
180210209,630,19,649
180210210,830,30,860
180210211,652,22,674
180210212,585,24,609
180210213,550,17,567
180210214,926,28,954
180210215,627,10,637
180210216,654,10,664
180210217,882,40,922
180210218,413,17,430
180210301,998,142,1140
180210302,944,80,1024
180210303,1464,129,1593
180210304,1941,197,2138
180210305,1375,163,1538
180210306,956,79,1035
180210307,937,88,1025
180210308,1081,83,1164
180210309,1143,107,1250
180210310,988,86,1074
180210311,769,43,812
180210312,983,80,1063
180210313,695,45,740
180210314,1200,135,1335
180210315,1177,104,1281
180210316,1092,82,1174
180210317,1556,88,1644
180210318,660,30,690
180210319,769,24,793
180210320,874,35,909
180210321,638,30,668
180210401,1533,171,1704
180210402,737,23,760
180210403,1744,127,1871
180210404,1404,160,1564
180210405,900,90,990
180210406,1380,170,1550
180210407,1524,149,1673
180210408,854,72,926
180210409,1180,77,1257
180210410,1124,94,1218
180210411,1645,132,1777
180210412,745,55,800
180210413,959,60,1019
180210414,1077,61,1138
180210415,862,51,913
180210416,693,22,715
180210417,893,53,946
180210418,652,38,690
180210419,348,16,364
180210420,369,13,382
180210421,870,57,927
180210422,772,38,810
180210501,570,11,581
180210502,712,28,740
180210503,923,20,943
180210504,934,40,974
180210505,566,28,594
180210506,977,70,1047
180210507,1141,59,1200
180210508,625,33,658
180210509,924,49,973
180210510,941,52,993
180210511,960,57,1017
180210512,1265,51,1316
180210513,1033,44,1077
180210514,828,49,877
180210515,670,39,709
180210516,627,37,664
180210601,730,41,771
180210602,799,61,860
180210603,1003,53,1056
180210604,1341,89,1430
180210605,1164,68,1232
180210606,1953,162,2115
180210607,950,38,988
180210608,900,46,946
180210609,1258,65,1323
180210610,951,46,997
180210611,678,38,716
180210612,1227,67,1294
180210613,1118,57,1175
180210614,1281,95,1376
180210615,1062,83,1145
180210616,1108,70,1178
180210701,1247,179,1426
180210702,939,92,1031
180210703,1734,168,1902
180210704,1173,47,1220
180210705,1046,54,1100
180210706,788,33,821
180210707,1474,65,1539
180210708,1959,184,2143
180210709,1207,85,1292
180210710,1360,147,1507
180210711,1499,188,1687
180210712,1368,78,1446
180210713,1161,52,1213
180210714,999,55,1054
180210715,1039,114,1153
180210716,809,47,856
180210801,548,39,587
180210802,966,79,1045
180210803,790,33,823
180210804,589,19,608
180210805,637,31,668
180210806,805,36,841
180210807,578,24,602
180210808,585,18,603
180210809,1248,86,1334
180210810,1110,72,1182
180210811,1695,105,1800
180210812,737,64,801
180210813,789,90,879
180210901,585,20,605
180210902,661,21,682
180210903,772,18,790
180210904,593,23,616
180210905,927,63,990
180210906,1302,57,1359
180210907,1291,79,1370
180210908,1119,36,1155
180210909,740,31,771
180210910,641,17,658
180210911,528,10,538
180210912,1079,60,1139
180210913,588,15,603
180210914,807,37,844
180210915,701,29,730
180211001,931,67,998
180211002,1058,80,1138
180211003,1045,70,1115
180211004,1109,91,1200
180211005,850,99,949
180211006,1706,153,1859
180211007,1140,101,1241
180211101,1026,156,1182
180211102,116,10,126
180211103,541,41,582
180211104,303,36,339
180211105,513,57,570
180211106,1163,150,1313
180211107,1143,114,1257
180211108,836,86,922
180211109,976,123,1099
180211110,688,49,737
180211201,92,3,95
180211202,139,24,163
180211203,109,14,123
180211204,458,31,489
180211205,617,72,689
180211206,496,53,549
180211207,385,71,456
180211208,1187,119,1306
180211209,1644,170,1814
180211210,1114,187,1301
180211211,1074,118,1192
180211212,1118,164,1282
180211213,343,47,390
180211301,1183,105,1288
180211302,539,46,585
180211303,166,24,190
180211304,42,2,44
180211305,402,33,435
180211306,659,73,732
180211307,657,81,738
180211401,6,0,6
180211402,33,3,36
180211501,1060,90,1150
180211502,735,27,762
180211503,399,15,414
180211504,435,10,445
180211505,821,33,854
180211506,716,44,760
180211507,747,56,803
180211508,845,52,897
180211509,695,24,719
180211510,572,22,594
180211511,1365,55,1420
180211512,801,36,837
180211513,794,62,856
180211514,854,43,897
180211515,712,32,744
180211516,1576,118,1694
180211601,651,79,730
180211602,703,71,774
180211603,1337,118,1455
180211604,1756,100,1856
180211605,618,37,655
180211606,662,33,695
180211607,731,32,763
180211608,831,48,879
180211609,879,58,937
180211610,670,40,710
180211611,895,62,957
180211612,784,67,851
180211613,942,90,1032
180211614,931,74,1005
180211615,1198,79,1277
180211616,1242,112,1354
180211701,843,51,894
180211702,1227,113,1340
180211703,1517,148,1665
180211704,1053,84,1137
180211705,808,48,856
180211706,1418,120,1538
180211707,725,47,772
180211708,992,70,1062
180211709,1018,85,1103
180211710,1049,70,1119
180211711,971,56,1027
180211712,700,35,735
180211713,1137,92,1229
180211714,759,31,790
180211715,897,78,975
180211716,772,31,803
180211717,922,57,979
180211718,1572,108,1680
180211801,1576,114,1690
180211802,1076,51,1127
180211803,1530,77,1607
180211804,1706,143,1849
180211805,938,81,1019
180211806,934,80,1014
180211807,1444,112,1556
180211808,1520,129,1649
180211809,2016,214,2230
180211810,906,46,952
180211811,1228,108,1336
180211812,1813,138,1951
180211813,1522,107,1629
180211901,774,33,807
180211902,929,48,977
180211903,612,33,645
180211904,474,22,496
180211905,1136,114,1250
180211906,908,62,970
180211907,863,94,957
180211908,1431,85,1516
180211909,928,27,955
180211910,284,15,299
180211911,884,43,927
180211912,1488,76,1564
180211913,709,63,772
180211914,841,61,902
180211915,991,81,1072
180211916,688,46,734
180211917,611,48,659
180211918,992,77,1069
180212001,1225,79,1304
180212002,1434,106,1540
180212003,1428,81,1509
180212004,1030,90,1120
180212005,946,62,1008
180212006,1268,69,1337
180212007,1009,46,1055
180212008,858,50,908
180212009,1013,70,1083
180212010,1151,98,1249
180212011,1511,93,1604
180212012,1005,78,1083
180212013,1193,82,1275
180212101,1102,68,1170
180212102,755,51,806
180212103,1437,99,1536
180212104,1019,63,1082
180212105,482,26,508
180212106,1844,185,2029
180212107,1222,98,1320
180212108,1364,152,1516
180212109,906,55,961
180212110,1411,93,1504
180212111,1399,98,1497
180212112,1493,157,1650
180212201,538,33,571
180212202,926,83,1009
180212203,1291,140,1431
180212204,1660,238,1898
180212205,1160,183,1343
180212206,1118,165,1283
180212207,1676,291,1967
180212208,979,108,1087
180212209,1385,126,1511
180212210,1161,80,1241
180212211,1409,105,1514
180212212,1735,122,1857
180212301,1743,200,1943
180212302,1411,110,1521
180212303,1495,100,1595
180212304,1184,96,1280
180212305,1667,142,1809
180212306,1027,93,1120
180212307,1420,109,1529
180212308,1127,102,1229
180212309,1362,79,1441
180212310,1493,131,1624
180212311,1472,141,1613
180212312,1521,140,1661
180212313,1399,153,1552
180212314,423,57,480
180280101,1267,231,1498
180280102,475,113,588
180280103,893,156,1049
180280201,73,8,81
180280202,87,20,107
180280301,1789,366,2155
180280302,37,2,39
180280303,269,42,311
180280304,10,6,16
180280305,63,6,69
180280306,140,50,190
180280307,130,32,162
180280308,565,125,690
180280309,1198,276,1474
180280310,895,84,979
180280311,1114,141,1255
180280312,1859,284,2143
180280401,751,110,861
180280402,65,18,83
180280403,160,41,201
180280404,22,6,28
180280405,470,93,563
180280406,510,72,582
180280407,399,75,474
180280408,238,39,277
180280409,314,65,379
180280410,122,19,141
180280411,206,19,225
180280412,567,110,677
180280413,438,81,519
180280501,52,9,61
180280502,60,2,62
180280503,57,6,63
180280601,69,15,84
180280602,22,0,22
180280603,42,14,56
180280604,229,79,308
180280605,26,12,38
180280606,36,24,60
180280701,148,48,196
180280702,535,92,627
180280703,46,18,64
180280704,41,13,54
180280705,65,9,74
180280706,41,14,55
180280707,19,27,46
180350101,902,87,989
180350102,622,108,730
180350103,1073,163,1236
180350104,854,72,926
180350105,815,31,846
180350106,400,15,415
180350107,515,31,546
180350108,436,34,470
180350109,686,66,752
180350110,592,61,653
180350111,1007,129,1136
180350112,671,103,774
180350113,625,58,683
180350114,10,2,12
180350115,738,116,854
180350116,634,118,752
180350201,109,8,117
180350301,146,14,160
180350302,105,20,125
180350303,96,23,119
180350401,79,5,84
180350402,79,20,99
180350501,262,53,315
180350502,211,33,244
180350503,45,6,51
180350601,53,7,60
180350602,57,15,72
180350603,334,78,412
180350701,127,24,151
180350702,61,8,69
180350801,63,7,70
180350802,196,23,219
180350901,59,11,70
180350902,82,15,97
180351001,41,4,45
180351002,21,2,23
180351101,439,92,531
180351102,79,19,98
180351201,115,29,144
180351202,42,11,53
180351203,71,13,84
180351301,161,26,187
180351302,45,11,56
180351303,226,38,264
180351401,370,140,510
180351402,117,32,149
180351501,972,123,1095
180351502,890,214,1104
180351503,85,16,101
180351504,88,22,110
180351505,69,8,77
180351506,329,70,399
180351507,20,4,24
180351508,60,14,74
180351509,75,23,98
180351510,675,83,758
180351511,663,75,738
180351601,57,9,66
180351602,74,11,85
180351701,32,2,34
180351702,32,5,37
180351801,1301,108,1409
180351802,1212,114,1326
180351803,574,44,618
180351804,617,89,706
180351805,908,73,981
180351806,493,30,523
180351807,902,56,958
180351808,1150,117,1267
180351809,985,83,1068
180351810,983,203,1186
180351811,566,113,679
180351901,362,83,445
180351902,701,98,799
180351903,1136,151,1287
180351904,1054,128,1182
180351905,938,89,1027
180351906,487,18,505
180351907,476,17,493
180351908,392,37,429
180351909,547,37,584
180351910,728,81,809
180351911,428,36,464
180351912,707,56,763
180351913,939,146,1085
180420101,805,66,871
180420102,1080,97,1177
180420103,690,61,751
180420104,1154,135,1289
180420105,735,92,827
180420106,773,125,898
180420107,966,74,1040
180420108,903,64,967
180420109,722,97,819
180420201,31,6,37
180420202,193,26,219
180420203,21,9,30
180420204,102,11,113
180420301,349,56,405
180420302,53,16,69
180420303,66,6,72
180420304,396,63,459
180420305,143,26,169
180420306,182,28,210
180420307,509,58,567
180420308,71,8,79
180420401,128,36,164
180420402,36,7,43
180420403,138,37,175
180420404,52,31,83
180420405,83,22,105
180420501,286,41,327
180420502,189,41,230
180420503,205,40,245
180420504,432,63,495
180420505,93,13,106
180420506,567,97,664
180420507,522,55,577
180420601,2,2,4
180420602,40,12,52
180420603,0,0,0
180490101,790,126,916
180490102,773,155,928
180490103,1343,185,1528
180490104,1282,131,1413
180490105,564,45,609
180490106,482,23,505
180490107,666,55,721
180490108,532,26,558
180490109,924,98,1022
180490110,889,45,934
180490111,585,42,627
180490112,606,47,653
180490113,1337,211,1548
180490114,722,91,813
180490115,671,109,780
180490116,1205,108,1313
180490117,943,129,1072
180490118,562,70,632
180490201,117,18,135
180490202,366,88,454
180490203,226,32,258
180490204,54,26,80
180490205,46,7,53
180490206,21,3,24
180490207,721,87,808
180490301,914,124,1038
180490302,20,1,21
180490303,69,9,78
180490304,115,23,138
180490305,144,18,162
180490306,607,137,744
180490307,305,31,336
180490308,812,74,886
180490401,219,31,250
180490402,190,50,240
180490403,92,14,106
180490404,110,14,124
180490405,143,25,168
180490501,258,43,301
180490502,44,10,54
180490503,3,1,4
180490601,43,9,52
180490602,25,4,29
180490603,47,19,66
180490701,2066,378,2444
180490702,344,110,454
180490703,451,102,553
180490704,650,140,790
180490705,47,5,52
180490801,138,15,153
180490802,219,40,259
180490901,12,29,41
180490902,111,102,213
180490903,33,47,80
180490904,73,11,84
180491001,373,116,489
180491002,138,29,167
180491003,40,15,55
180491101,24,33,57
180560101,719,90,809
180560102,617,83,700
180560103,955,143,1098
180560104,907,111,1018
180560105,490,44,534
180560106,397,20,417
180560107,402,29,431
180560108,369,55,424
180560109,416,30,446
180560110,358,42,400
180560201,276,41,317
180560202,96,11,107
180560301,235,44,279
180560302,38,6,44
180560303,35,14,49
180560401,92,18,110
180560402,34,1,35
180560403,28,3,31
180560404,11,0,11
180560501,30,2,32
180560502,19,3,22
180560503,43,10,53
180560504,10,3,13
180560601,18,1,19
180560602,6,1,7
180560603,5,0,5
180560604,51,8,59
180560605,4,0,4
180630101,1439,121,1560
180630102,1101,87,1188
180630103,710,81,791
180630104,902,86,988
180630201,627,57,684
180630202,1015,88,1103
180630203,93,16,109
180630204,419,59,478
180630205,639,49,688
180630206,780,84,864
180630301,394,78,472
180630302,65,14,79
180630303,189,33,222
180630304,105,17,122
180630401,319,26,345
180630402,88,18,106
180630403,27,2,29
180630404,56,3,59
180630405,10,1,11
180630406,108,19,127
180630407,28,4,32
180630408,27,2,29
180630501,114,19,133
180630502,137,13,150
180630503,190,32,222
180630504,41,22,63
180630601,63,13,76
180630602,87,12,99
180630603,16,1,17
180630701,411,55,466
180630702,91,14,105
180630703,178,28,206
180630704,281,54,335
180630705,264,61,325
180630706,128,20,148
180630801,91,6,97
180630802,236,63,299
180630803,152,18,170
180630804,315,52,367
180630805,241,43,284
180630806,420,59,479
180630901,1,0,1
180700101,715,62,777
180700102,714,32,746
180700103,763,47,810
180700104,622,53,675
180700105,662,52,714
180700106,781,37,818
180700107,695,28,723
180700108,646,38,684
180700109,644,56,700
180700110,849,78,927
180700111,1023,76,1099
180700112,739,70,809
180700113,701,96,797
180700114,692,32,724
180700115,898,86,984
180700116,646,62,708
180700117,658,83,741
180700118,278,72,350
180700201,461,83,544
180700202,602,123,725
180700203,506,62,568
180700204,273,22,295
180700205,82,12,94
180700206,123,15,138
180700207,87,16,103
180700208,10,0,10
180700209,189,16,205
180700210,10,2,12
180700301,542,73,615
180700302,310,51,361
180700303,90,21,111
180700401,74,19,93
180700402,120,21,141
180700403,55,19,74
180700404,69,20,89
180700501,221,33,254
180700502,115,23,138
180700503,20,4,24
180700601,77,29,106
180700602,26,8,34
180700603,87,31,118
180700701,83,15,98
180700702,19,5,24
180700703,60,6,66
180700801,207,25,232
180700802,197,36,233
180700803,205,39,244
180700804,269,57,326
180700901,138,31,169
180700902,186,38,224
180701001,76,23,99
180701002,158,34,192
180701003,329,110,439
180701004,170,35,205
180701005,378,120,498
180701101,296,81,377
180701102,272,167,439
180701201,528,133,661
180701202,228,69,297
180701203,145,32,177
180701204,272,70,342
180701301,360,43,403
180701302,134,18,152
180701303,559,96,655
180701304,42,2,44
180701401,371,66,437
180701402,309,81,390
180701403,420,69,489
180701404,237,45,282
180701501,218,26,244
180701502,222,27,249
180701503,335,72,407
180701504,28,11,39
180701505,123,15,138
180701506,1234,93,1327
180701507,1043,94,1137
180701508,1417,98,1515
180701509,1200,106,1306
180701601,291,34,325
180701602,116,8,124
180701603,149,19,168
180701604,201,24,225
180701605,194,16,210
180701606,183,29,212
180701607,284,35,319
180701701,190,25,215
180701702,45,6,51
180701703,184,23,207
180701704,54,9,63
180701801,194,27,221
180701802,221,40,261
180701803,237,30,267
180701901,9,8,17
180701902,441,141,582
180701903,12,14,26
180701904,33,21,54
180701905,26,33,59
180701906,0,0,0
180701907,6,7,13
180701908,5,5,10
180701909,31,36,67
180702001,767,41,808
180702002,705,35,740
180702003,646,47,693
180702004,1118,46,1164
180702005,855,53,908
180702006,859,53,912
180702007,761,45,806
180702008,951,68,1019
180702009,739,27,766
180702010,655,63,718
180702011,562,21,583
180702012,678,22,700
180702013,745,40,785
180702014,522,23,545
180702015,542,18,560
180702016,662,27,689
180702101,598,76,674
180702102,58,5,63
180702103,1373,112,1485
180702104,1128,131,1259
180702105,930,88,1018
180702106,712,47,759
180702107,287,48,335
180702108,571,129,700
180702109,989,135,1124
180702110,794,88,882
180702111,739,83,822
180702112,900,165,1065
180702113,1168,215,1383
180702114,720,74,794
180702115,1287,171,1458
180702116,972,150,1122
180702117,862,180,1042
180702201,1332,230,1562
180702202,1052,241,1293
180702203,869,92,961
180702204,1302,151,1453
180702205,690,102,792
180702206,1020,119,1139
180702207,632,45,677
180702208,789,116,905
180702209,687,49,736
180702210,1431,181,1612
180702211,79,21,100
180702212,1188,93,1281
180702213,1094,82,1176
180702214,943,122,1065
180702215,1342,287,1629
180702216,987,208,1195
180702217,962,70,1032
180702218,1036,141,1177
180770101,654,75,729
180770102,503,33,536
180770103,982,127,1109
180770104,939,87,1026
180770105,656,52,708
180770106,754,74,828
180770201,565,69,634
180770202,226,38,264
180770203,196,14,210
180770204,300,46,346
180770205,231,14,245
180770206,33,3,36
180770207,53,2,55
180770208,548,62,610
180770301,468,89,557
180770302,190,25,215
180770401,66,12,78
180770402,230,37,267
180770501,70,11,81
180770502,90,12,102
180770503,12,2,14
180770601,0,0,0
180770602,0,1,1
180770603,0,0,0
180840101,1145,159,1304
180840102,730,63,793
180840103,761,80,841
180840104,571,49,620
180840105,684,40,724
180840106,833,66,899
180840107,1236,132,1368
180840108,933,97,1030
180840109,663,35,698
180840110,677,38,715
180840111,649,52,701
180840112,936,82,1018
180840113,703,43,746
180840114,955,40,995
180840115,996,51,1047
180840116,1071,61,1132
180840117,327,39,366
180840118,1530,186,1716
180840201,1016,176,1192
180840202,55,8,63
180840203,214,41,255
180840204,460,88,548
180840205,754,152,906
180840206,20,1,21
180840301,221,46,267
180840302,39,16,55
180840303,10,1,11
180840304,18,3,21
180840305,12,0,12
180840306,54,17,71
180840401,2,2,4
180840402,18,0,18
180840403,66,5,71
180840404,25,5,30
180840501,116,16,132
180840502,76,17,93
180840503,79,16,95
180840601,51,13,64
180840602,27,2,29
180840603,36,8,44
180840701,92,20,112
180840702,31,3,34
180840703,32,6,38
180840801,9,1,10
180840802,50,9,59
180840901,64,9,73
180840902,56,8,64
180840903,84,7,91
180841001,550,62,612
180841002,668,97,765
180841003,569,84,653
180841004,344,50,394
180841005,113,19,132
180841006,29,7,36
180841007,215,34,249
180841008,28,4,32
180841009,19,1,20
180841101,821,85,906
180841102,245,22,267
180841103,85,14,99
180841104,254,34,288
180841105,440,78,518
180841106,52,11,63
180841107,39,4,43
180841108,103,16,119
180841109,1106,114,1220
180841201,867,100,967
180841202,90,26,116
180841203,433,82,515
180841204,83,23,106
180841205,7,1,8
180841206,0,0,0
180841207,0,0,0
180910101,1082,79,1161
180910102,669,46,715
180910103,499,22,521
180910104,769,140,909
180910105,990,158,1148
180910106,1024,112,1136
180910107,917,91,1008
180910108,776,68,844
180910109,725,56,781
180910110,1470,254,1724
180910201,582,53,635
180910202,344,67,411
180910203,767,168,935
180910204,387,77,464
180910205,51,5,56
180910206,413,81,494
180910207,544,80,624
180910208,560,87,647
180910209,854,130,984
180910210,416,79,495
180910211,428,45,473
180910212,206,32,238
180910301,517,41,558
180910302,294,36,330
180910303,362,44,406
180910304,101,18,119
180910305,210,26,236
180910401,444,65,509
180910402,279,48,327
180910403,221,32,253
180910404,237,26,263
180910405,374,69,443
180910406,158,15,173
180910407,65,15,80
180910501,67,14,81
180910502,49,7,56
180910503,239,30,269
180910504,137,20,157
180910505,35,5,40
180910506,34,16,50
180910601,33,5,38
180910602,26,1,27
180910603,28,5,33
180910701,556,63,619
180910702,172,41,213
180910703,362,51,413
180910704,456,88,544
180910705,130,22,152
180910706,883,136,1019
180910801,122,13,135
180910802,605,168,773
180910803,811,152,963
180910804,499,94,593
180910805,151,38,189
180910806,340,85,425
180910901,4,3,7
180910902,1,0,1
180910903,0,0,0
180980101,806,102,908
180980102,852,69,921
180980103,1135,185,1320
180980104,594,31,625
180980105,516,37,553
180980106,752,77,829
180980107,666,133,799
180980201,303,56,359
180980202,190,38,228
180980203,566,117,683
180980301,209,34,243
180980302,386,58,444
180980303,136,22,158
180980304,199,31,230
180980401,9,0,9
180980402,61,14,75
180980403,149,38,187
180980501,47,8,55
180980502,53,14,67
180980503,29,12,41
181050101,867,146,1013
181050102,876,135,1011
181050103,1006,197,1203
181050104,933,103,1036
181050105,643,101,744
181050106,1166,149,1315
181050107,1442,228,1670
181050108,394,56,450
181050109,848,75,923
181050110,783,45,828
181050111,426,14,440
181050112,854,74,928
181050113,1250,135,1385
181050114,1241,130,1371
181050115,504,25,529
181050201,45,4,49
181050202,211,31,242
181050203,107,17,124
181050204,1039,125,1164
181050301,44,2,46
181050302,116,10,126
181050401,63,4,67
181050402,22,1,23
181050501,30,8,38
181050502,36,14,50
181050503,29,8,37
181050601,66,14,80
181050602,49,7,56
181050603,28,4,32
181050701,18,2,20
181050702,15,1,16
181050801,92,22,114
181050802,64,19,83
181050803,96,8,104
181050804,32,1,33
181050805,704,60,764
181050806,16,2,18
181050901,726,103,829
181050902,30,6,36
181050903,60,5,65
181050904,822,99,921
181051001,4,1,5
181051002,3,0,3
181051003,241,53,294
181051101,1224,155,1379
181051102,32,7,39
181051103,52,2,54
181051104,20,5,25
181051201,118,24,142
181051202,132,25,157
181051203,67,4,71
181051204,229,31,260
181051301,265,25,290
181051302,59,12,71
181051303,12,1,13
181051304,103,6,109
181051305,65,17,82
181051306,5,0,5
181051401,13,1,14
181051402,14,1,15
181051403,13,1,14
181051404,9,2,11
181051501,21,6,27
181051502,1,0,1
181051503,11,4,15
181051601,260,49,309
181051602,66,10,76
181051603,53,5,58
181051604,33,8,41
181051605,79,10,89
181051701,21,3,24
181051702,24,0,24
181051801,92,16,108
181051802,13,0,13
181051901,38,11,49
181051902,34,4,38
181052001,24,4,28
181052002,38,3,41
181052003,30,4,34
181052101,639,33,672
181052102,1394,109,1503
181052103,935,106,1041
181052104,766,102,868
181052105,732,45,777
181052106,848,66,914
181052107,1266,159,1425
181052108,849,55,904
181052109,633,87,720
181052110,623,59,682
181052111,1003,137,1140
181052112,1428,162,1590
181052113,1185,173,1358
181052114,879,78,957
181120101,961,104,1065
181120102,306,34,340
181120103,177,30,207
181120104,982,58,1040
181120105,637,43,680
181120106,1157,73,1230
181120107,908,86,994
