radio,1 Urbano,2 Rural agrupado,3 Rural disperso,TOTAL
020021905,524,0,0,524
020021906,574,0,0,574
020021907,452,0,0,452
020021908,516,0,0,516
020022001,595,0,0,595
020022002,652,0,0,652
020022003,514,0,0,514
020022004,527,0,0,527
020022005,303,0,0,303
020022006,426,0,0,426
020022007,380,0,0,380
020022008,407,0,0,407
020022101,658,0,0,658
020022102,605,0,0,605
020022103,473,0,0,473
020022104,774,0,0,774
020022105,652,0,0,652
020022106,671,0,0,671
020022201,556,0,0,556
020022202,378,0,0,378
020022203,305,0,0,305
020022204,695,0,0,695
020022205,744,0,0,744
020022206,919,0,0,919
020022301,630,0,0,630
020022302,797,0,0,797
020022303,712,0,0,712
020022304,516,0,0,516
020022305,441,0,0,441
020022306,312,0,0,312
020022307,371,0,0,371
020022308,251,0,0,251
020022309,660,0,0,660
020022401,610,0,0,610
020022402,529,0,0,529
020022403,450,0,0,450
020022404,642,0,0,642
020022405,730,0,0,730
020022406,621,0,0,621
020022501,458,0,0,458
020022502,492,0,0,492
020022503,240,0,0,240
020022504,632,0,0,632
020022505,620,0,0,620
020022506,459,0,0,459
020022507,528,0,0,528
020022508,746,0,0,746
020022509,677,0,0,677
020022510,435,0,0,435
020022511,659,0,0,659
020030101,667,0,0,667
020030102,536,0,0,536
020030103,621,0,0,621
020030104,345,0,0,345
020030105,494,0,0,494
020030106,372,0,0,372
020030107,372,0,0,372
020030108,242,0,0,242
020030109,295,0,0,295
020030110,195,0,0,195
020030111,288,0,0,288
020030201,444,0,0,444
020030202,439,0,0,439
020030203,426,0,0,426
020030204,362,0,0,362
020030205,472,0,0,472
020030206,455,0,0,455
020030207,550,0,0,550
020030208,595,0,0,595
020030209,394,0,0,394
020030210,234,0,0,234
020030211,306,0,0,306
020030212,423,0,0,423
020030301,657,0,0,657
020030302,529,0,0,529
020030303,348,0,0,348
020030304,273,0,0,273
020030305,355,0,0,355
020030306,389,0,0,389
020030307,390,0,0,390
020030308,359,0,0,359
020030309,190,0,0,190
020030310,338,0,0,338
020030311,405,0,0,405
020030401,449,0,0,449
020030402,269,0,0,269
020030403,421,0,0,421
020030404,404,0,0,404
020030405,407,0,0,407
020030406,424,0,0,424
020030407,422,0,0,422
020030408,371,0,0,371
020030501,583,0,0,583
020030502,418,0,0,418
020030503,672,0,0,672
020030504,374,0,0,374
020030505,524,0,0,524
020030506,377,0,0,377
020030507,608,0,0,608
020030601,624,0,0,624
020030602,224,0,0,224
020030603,503,0,0,503
020030604,445,0,0,445
020030605,476,0,0,476
020030606,414,0,0,414
020030607,435,0,0,435
020030701,177,0,0,177
020030702,616,0,0,616
020030703,624,0,0,624
020030704,664,0,0,664
020030705,500,0,0,500
020030706,469,0,0,469
020030707,668,0,0,668
020030708,204,0,0,204
020030709,665,0,0,665
020030801,482,0,0,482
020030802,290,0,0,290
020030803,445,0,0,445
020030804,369,0,0,369
020030805,349,0,0,349
020030806,264,0,0,264
020030807,226,0,0,226
020030808,280,0,0,280
020030809,377,0,0,377
020030810,272,0,0,272
020030901,486,0,0,486
020030902,273,0,0,273
020030903,435,0,0,435
020030904,468,0,0,468
020030905,270,0,0,270
020030906,267,0,0,267
020030907,270,0,0,270
020030908,300,0,0,300
020030909,460,0,0,460
020030910,378,0,0,378
020031001,521,0,0,521
020031002,436,0,0,436
020031003,314,0,0,314
020031004,417,0,0,417
020031005,302,0,0,302
020031006,509,0,0,509
020031007,415,0,0,415
020031008,334,0,0,334
020031101,457,0,0,457
020031102,569,0,0,569
020031103,457,0,0,457
020031104,638,0,0,638
020031105,453,0,0,453
020031106,536,0,0,536
020031107,585,0,0,585
020031108,369,0,0,369
020031201,513,0,0,513
020031202,545,0,0,545
020031203,368,0,0,368
020031204,288,0,0,288
020031205,675,0,0,675
020031206,93,0,0,93
020031207,603,0,0,603
020031208,380,0,0,380
020031209,283,0,0,283
020031210,390,0,0,390
020031301,367,0,0,367
020031302,410,0,0,410
020031303,467,0,0,467
020031304,253,0,0,253
020031305,433,0,0,433
020031306,438,0,0,438
020031307,320,0,0,320
020031308,334,0,0,334
020031309,472,0,0,472
020031310,204,0,0,204
020031311,389,0,0,389
020031401,420,0,0,420
020031402,510,0,0,510
020031403,576,0,0,576
020031404,403,0,0,403
020031405,428,0,0,428
020031406,633,0,0,633
020031407,322,0,0,322
020031408,398,0,0,398
020031409,55,0,0,55
020031410,393,0,0,393
020031501,388,0,0,388
020031502,489,0,0,489
020031503,334,0,0,334
020031504,474,0,0,474
020031505,508,0,0,508
020031506,488,0,0,488
020031507,761,0,0,761
020031508,845,0,0,845
020031509,151,0,0,151
020031601,469,0,0,469
020031602,608,0,0,608
020031603,416,0,0,416
020031604,253,0,0,253
020031605,295,0,0,295
020031606,350,0,0,350
020031607,367,0,0,367
020031608,397,0,0,397
020031609,596,0,0,596
020031701,327,0,0,327
020031702,391,0,0,391
020031703,256,0,0,256
020031704,362,0,0,362
020031705,313,0,0,313
020031706,390,0,0,390
020031707,409,0,0,409
020031708,444,0,0,444
020031709,323,0,0,323
020031801,291,0,0,291
020031802,356,0,0,356
020031803,247,0,0,247
020031804,476,0,0,476
020031805,209,0,0,209
020031806,299,0,0,299
020031807,337,0,0,337
020031808,313,0,0,313
020031809,499,0,0,499
020031810,257,0,0,257
020031811,353,0,0,353
020031901,625,0,0,625
020031902,167,0,0,167
020031903,407,0,0,407
020031904,361,0,0,361
020031905,361,0,0,361
020031906,416,0,0,416
020031907,398,0,0,398
020031908,604,0,0,604
020031909,365,0,0,365
020031910,279,0,0,279
020032001,341,0,0,341
020032002,482,0,0,482
020032003,446,0,0,446
020032004,378,0,0,378
020032005,268,0,0,268
020032006,236,0,0,236
020032007,432,0,0,432
020032008,322,0,0,322
020032009,550,0,0,550
020032010,368,0,0,368
020032011,307,0,0,307
020032101,479,0,0,479
020032102,491,0,0,491
020032103,383,0,0,383
020032104,410,0,0,410
020032105,236,0,0,236
020032106,429,0,0,429
020032107,240,0,0,240
020032108,400,0,0,400
020032109,256,0,0,256
020032110,501,0,0,501
020032201,386,0,0,386
020032202,351,0,0,351
020032203,219,0,0,219
020032204,268,0,0,268
020032205,463,0,0,463
020032206,289,0,0,289
020032207,413,0,0,413
020032208,454,0,0,454
020032209,464,0,0,464
020032301,355,0,0,355
020032302,408,0,0,408
020032303,427,0,0,427
020032304,213,0,0,213
020032305,363,0,0,363
020032306,263,0,0,263
020032307,315,0,0,315
020032308,403,0,0,403
020032309,374,0,0,374
020032310,428,0,0,428
020032401,368,0,0,368
020032402,337,0,0,337
020032403,363,0,0,363
020032404,375,0,0,375
020032405,277,0,0,277
020032406,473,0,0,473
020032407,391,0,0,391
020032408,366,0,0,366
020032409,217,0,0,217
020032501,656,0,0,656
020032502,337,0,0,337
020032503,247,0,0,247
020032504,328,0,0,328
020032505,204,0,0,204
020032506,350,0,0,350
020032507,269,0,0,269
020032508,862,0,0,862
020032509,371,0,0,371
020032601,462,0,0,462
020032602,466,0,0,466
020032603,410,0,0,410
020032604,295,0,0,295
020032605,397,0,0,397
020032606,292,0,0,292
020032607,406,0,0,406
020032608,288,0,0,288
020032609,316,0,0,316
020032701,466,0,0,466
020032702,319,0,0,319
020032703,387,0,0,387
020032704,391,0,0,391
020032705,380,0,0,380
020032706,303,0,0,303
020032707,405,0,0,405
020040101,231,0,0,231
020040102,241,0,0,241
020040103,183,0,0,183
020040104,196,0,0,196
020040105,170,0,0,170
020040106,126,0,0,126
020040107,162,0,0,162
020040108,252,0,0,252
020040109,220,0,0,220
020040110,201,0,0,201
020040111,206,0,0,206
020040112,214,0,0,214
020040113,168,0,0,168
020040114,221,0,0,221
020040201,316,0,0,316
020040202,342,0,0,342
020040203,457,0,0,457
020040204,263,0,0,263
020040205,275,0,0,275
020040206,292,0,0,292
020040207,375,0,0,375
020040208,209,0,0,209
020040209,218,0,0,218
020040210,310,0,0,310
020040301,367,0,0,367
020040302,309,0,0,309
020040303,229,0,0,229
020040304,328,0,0,328
020040305,365,0,0,365
020040306,321,0,0,321
020040307,257,0,0,257
020040308,305,0,0,305
020040309,200,0,0,200
020040310,327,0,0,327
020040311,353,0,0,353
020040312,359,0,0,359
020040313,192,0,0,192
020040401,283,0,0,283
020040402,355,0,0,355
020040403,390,0,0,390
020040404,366,0,0,366
020040405,439,0,0,439
020040406,311,0,0,311
020040407,401,0,0,401
020040408,342,0,0,342
020040409,321,0,0,321
020040410,327,0,0,327
020040411,333,0,0,333
020040501,440,0,0,440
020040502,283,0,0,283
020040503,388,0,0,388
020040504,303,0,0,303
020040505,229,0,0,229
020040506,420,0,0,420
020040507,294,0,0,294
020040508,301,0,0,301
020040509,665,0,0,665
020040510,399,0,0,399
020040511,359,0,0,359
020040601,517,0,0,517
020040602,356,0,0,356
020040603,309,0,0,309
020040604,366,0,0,366
020040605,316,0,0,316
020040606,429,0,0,429
020040607,312,0,0,312
020040608,356,0,0,356
020040609,309,0,0,309
020040610,255,0,0,255
020040611,272,0,0,272
020040701,365,0,0,365
020040702,325,0,0,325
020040703,267,0,0,267
020040704,918,0,0,918
020040705,349,0,0,349
020040706,344,0,0,344
020040707,376,0,0,376
020040708,348,0,0,348
020040709,290,0,0,290
020040710,356,0,0,356
020040711,235,0,0,235
020040712,306,0,0,306
020040801,380,0,0,380
020040802,400,0,0,400
020040803,306,0,0,306
020040804,308,0,0,308
020040805,349,0,0,349
020040806,330,0,0,330
020040807,993,0,0,993
020040808,117,0,0,117
020040809,321,0,0,321
020040810,247,0,0,247
020040811,324,0,0,324
020040901,312,0,0,312
020040902,263,0,0,263
020040903,176,0,0,176
020040904,187,0,0,187
020040905,233,0,0,233
020040906,318,0,0,318
020040907,293,0,0,293
020041001,11,0,0,11
020041002,551,0,0,551
020041003,491,0,0,491
020041004,117,0,0,117
020041005,459,0,0,459
020041006,277,0,0,277
020041007,249,0,0,249
020041008,430,0,0,430
020041009,588,0,0,588
020041101,255,0,0,255
020041102,384,0,0,384
020041103,346,0,0,346
020041104,317,0,0,317
020041105,211,0,0,211
020041106,326,0,0,326
020041107,361,0,0,361
020041108,349,0,0,349
020041109,277,0,0,277
020041201,171,0,0,171
020041202,205,0,0,205
